N,P,K,temperature,ph,label
72,45,35,25.42977518,5.76,rice
61,53,43,26.40323239,6.35,rice
67,43,39,26.04371967,6,rice
67,58,39,25.2827223,5.45,rice
66,60,38,22.08576562,6.37,rice
82,43,38,23.28617173,5.11,rice
84,50,44,25.48591986,5.94,rice
81,53,42,23.67575393,5.18,rice
91,50,40,20.82477109,6.46,rice
93,53,38,26.92995077,7.07,rice
90,44,38,23.83509503,7.47,rice
81,45,35,26.52872817,6.16,rice
78,40,38,26.46428311,7.55,rice
60,51,36,22.69657794,6.03,rice
88,46,42,22.68319059,6.6,rice
93,47,37,21.53346343,6.5,rice
60,55,45,21.40865769,5.94,rice
78,35,44,26.54348085,7.07,rice
65,37,40,23.35905428,5.33,rice
71,54,16,22.61359953,5.75,maize
61,44,17,26.10018422,6.93,maize
80,43,16,23.55882094,6.66,maize
73,58,21,19.97215954,6.6,maize
61,38,20,18.47891261,5.97,maize
68,41,16,21.77689322,6.16,maize
93,41,17,25.6217169,6.05,maize
89,60,19,25.19192419,5.91,maize
76,44,17,20.41683147,5.86,maize
67,60,25,24.92162194,5.75,maize
70,44,19,23.31689124,5.85,maize
90,49,21,24.84016732,6.47,maize
62,52,16,22.27526694,6.97,maize
92,44,16,18.87751445,6.08,maize
66,54,21,25.19008683,5.92,maize
63,58,22,18.25405352,6.2,maize
70,47,17,24.6129118,6.6,maize
61,41,17,25.1420613,6.02,maize
66,53,19,23.09348056,6.03,maize
74,55,19,18.05033737,6.29,maize
77,57,21,24.9321581,6.55,maize
99,50,15,18.14710054,5.57,maize
74,56,22,18.28362235,6.83,maize
83,45,21,18.83344471,5.72,maize
100,48,16,25.71895816,5.55,maize
79,51,16,25.33797709,6.59,maize
94,39,18,23.89114571,5.89,maize
75,49,15,21.53574127,5.92,maize
78,48,22,23.08974909,5.59,maize
87,54,20,25.61707368,6.58,maize
87,35,25,21.44526922,6.18,maize
63,43,19,18.51816776,6.64,maize
84,57,25,22.53510514,6.49,maize
64,35,23,23.02038334,5.68,maize
60,46,22,24.89364635,6.63,maize
98,44,21,25.77175115,6.52,maize
75,56,18,19.39851734,5.7,maize
86,55,21,21.54156232,6.8,maize
98,35,18,23.79746068,6.25,maize
76,57,18,18.9802729,6.09,maize
99,56,17,24.10859207,6.23,maize
60,44,23,24.7947077,5.72,maize
74,48,17,21.63162756,6.43,maize
89,60,17,25.37548751,5.98,maize
69,51,23,22.21738222,6.8,maize
96,46,22,20.58314011,6.5,maize
61,60,15,24.87502824,6.27,maize
74,58,18,20.03728219,6.73,maize
74,43,23,25.95263264,6.33,maize
63,43,17,19.28889933,6.81,maize
99,36,20,20.57981887,6.67,maize
77,36,23,24.71417533,6.65,maize
87,60,23,20.27317074,6.44,maize
60,38,17,18.41932981,6.47,maize
94,54,17,23.39128187,5.87,maize
95,38,22,19.84939404,5.73,maize
84,44,21,21.869274,5.85,maize
77,58,19,22.8056033,5.79,maize
66,44,20,19.0781471,6.74,maize
63,35,16,22.02720976,6.27,maize
79,45,20,23.80546189,5.72,maize
72,60,25,18.52510753,5.77,maize
67,51,24,23.50297882,5.58,maize
86,36,24,26.54986394,5.79,maize
76,48,18,19.29563411,5.78,maize
75,53,18,20.68899915,6.86,maize
81,45,23,19.32666088,6.19,maize
73,45,21,24.60532218,6.64,maize
71,35,24,22.27373646,5.83,maize
96,54,22,25.70196694,6.96,maize
99,39,18,19.20129357,6.11,maize
62,48,20,21.70181447,6.71,maize
86,37,16,20.51716779,5.56,maize
94,50,19,23.30355338,5.87,maize
76,39,24,24.2547451,7,maize
77,52,17,24.86374934,5.71,maize
74,39,23,22.6265115,6.78,maize
81,49,20,18.04185513,5.51,maize
63,42,21,23.26237612,5.8,maize
99,38,21,22.88330922,6.35,maize
90,52,25,25.97482359,6.82,maize
68,40,19,26.14384005,6.66,maize
60,57,24,18.66116213,6.12,maize
71,52,18,25.10787449,5.79,maize
61,59,17,23.33844615,6.47,maize
88,38,15,25.08239719,6.46,maize
65,60,22,25.36768364,6.61,maize
78,37,22,25.34217103,6.33,maize
78,58,15,25.00933355,6.53,maize
92,60,23,18.66746724,5.72,maize
79,59,17,20.37999665,6.64,maize
91,55,15,18.09300227,6.38,maize
76,51,18,26.16985907,6.25,maize
87,48,25,18.65396672,6.66,maize
71,60,22,26.07470121,6.2,maize
90,57,24,18.92851916,6.16,maize
67,35,22,23.30546753,6.39,maize
60,54,19,18.74826712,6.42,maize
83,58,23,19.74213321,6.38,maize
83,57,19,25.73044432,6.88,maize
40,72,77,17.02498456,7.49,chickpea
23,72,84,19.02061277,6.92,chickpea
39,58,85,17.88776475,6,chickpea
22,72,85,18.86805647,6.39,chickpea
36,67,77,18.36952567,7.15,chickpea
32,73,81,20.45078582,5.99,chickpea
58,70,84,20.6543203,6.23,chickpea
59,70,84,17.3348681,7.55,chickpea
42,62,75,18.17912258,7.01,chickpea
28,74,81,18.01272266,8.75,chickpea
58,66,79,20.99373558,8.72,chickpea
43,66,79,19.46233971,7.98,chickpea
58,63,81,19.81344531,6.52,chickpea
23,62,85,18.97424756,8.49,chickpea
27,62,77,18.19737048,6.58,chickpea
28,72,84,18.72963144,6.48,chickpea
50,56,76,20.99502153,7.97,chickpea
39,71,84,20.28155898,8.14,chickpea
25,78,76,17.48042641,7.23,chickpea
31,70,77,20.88818675,6.49,chickpea
26,80,83,17.08498521,7.53,chickpea
25,68,77,20.09340593,7.7,chickpea
31,78,76,17.57212145,8.52,chickpea
60,68,83,19.12065218,6.62,chickpea
59,62,83,18.57665902,8.1,chickpea
22,67,78,17.16606398,6.2,chickpea
36,65,80,18.2872007,6.05,chickpea
59,60,84,19.03025305,7.69,chickpea
54,77,85,17.1418614,7.83,chickpea
43,68,81,17.47809436,6.76,chickpea
28,76,82,20.56601874,6.65,chickpea
42,79,85,17.22385224,6.13,chickpea
32,60,83,19.69141713,8.83,chickpea
22,78,76,17.84851658,8.62,chickpea
31,79,75,18.8202251,8.2,chickpea
28,58,81,17.47500984,6.18,chickpea
57,58,77,18.72649425,7.98,chickpea
49,55,78,18.65580107,7.86,chickpea
46,76,77,18.2356751,6.97,chickpea
54,61,77,18.81198127,6.21,chickpea
38,60,76,18.65054116,8.87,chickpea
59,55,79,20.36720401,8.77,chickpea
36,76,75,18.38120357,8.74,chickpea
57,68,81,17.17012591,8.08,chickpea
35,66,81,19.37101121,6.14,chickpea
35,64,78,17.92845928,7.5,chickpea
52,60,79,19.45339934,8.38,chickpea
27,76,83,19.12829388,6.29,chickpea
57,60,84,19.1034283,6.59,chickpea
52,68,78,17.48504075,6.9,chickpea
43,79,79,19.40751744,7.81,chickpea
44,74,85,20.18649426,7.15,chickpea
24,55,78,17.30287885,6.65,chickpea
29,77,75,17.50361137,7.78,chickpea
20,60,78,18.17234999,6.36,chickpea
56,67,78,17.57445618,8.26,chickpea
37,66,85,20.93175255,6.46,chickpea
49,71,76,19.71098332,6.61,chickpea
59,69,80,19.07937684,8.17,chickpea
20,79,77,18.54988627,7.65,chickpea
24,56,85,18.19903647,6.55,chickpea
51,72,75,18.88852533,7.1,chickpea
57,73,85,18.49311205,7.36,chickpea
22,64,82,19.48974337,6.47,chickpea
52,73,79,17.25769499,7.84,chickpea
29,75,75,19.62416326,7.06,chickpea
44,59,78,20.67526473,7.6,chickpea
41,69,82,20.02381489,6.72,chickpea
52,56,85,20.1187446,6.82,chickpea
34,76,80,20.65691793,7.99,chickpea
42,74,83,19.2582557,7.55,chickpea
34,71,79,17.927806,7.73,chickpea
27,73,79,19.16288268,7.35,chickpea
30,70,79,20.26942271,7.31,chickpea
57,57,75,17.09104223,7.79,chickpea
27,79,82,17.06579293,6.31,chickpea
32,71,85,20.62767492,6.4,chickpea
31,76,82,20.8248451,7.6,chickpea
33,75,84,19.46210401,7.22,chickpea
47,80,77,17.18248372,7.56,chickpea
54,62,80,17.48911699,7.49,chickpea
47,79,78,17.48395377,6.61,chickpea
35,57,83,19.48316794,7.48,chickpea
53,73,77,19.71359733,7.33,chickpea
45,61,78,19.48649305,6.49,chickpea
37,78,79,19.95264829,7.79,chickpea
30,75,81,19.41789736,6.41,chickpea
37,55,82,19.45591848,8.42,chickpea
53,65,76,20.19137759,8.72,chickpea
22,60,85,18.8392908,7.81,chickpea
60,61,78,20.71219282,6.32,chickpea
42,67,77,18.99424448,7.11,chickpea
39,76,76,19.96837462,8.14,chickpea
35,63,76,17.81564548,7.71,chickpea
30,65,82,20.71424384,7.1,chickpea
57,56,78,17.34150229,8.86,chickpea
48,65,78,17.43732714,7.86,chickpea
36,56,83,18.89780215,7.45,chickpea
40,58,75,18.59190771,7.17,chickpea
49,69,82,18.31561493,7.26,chickpea
13,60,25,17.13692774,5.69,kidneybeans
25,70,16,19.63474332,5.76,kidneybeans
31,55,22,22.91350245,5.87,kidneybeans
40,64,16,16.43340342,5.93,kidneybeans
2,61,20,22.13974653,5.96,kidneybeans
26,65,22,17.84806561,5.95,kidneybeans
17,57,21,19.88394011,5.79,kidneybeans
26,80,18,19.32509638,5.58,kidneybeans
17,59,17,18.4167001,5.69,kidneybeans
27,59,22,21.81167649,5.79,kidneybeans
28,58,24,19.72702528,5.75,kidneybeans
25,57,19,17.15432954,5.57,kidneybeans
28,80,17,19.62207826,5.81,kidneybeans
25,60,22,21.63149148,5.89,kidneybeans
12,78,23,16.06522754,6,kidneybeans
6,77,25,20.61162204,5.79,kidneybeans
22,79,17,21.42451099,5.91,kidneybeans
27,80,15,19.07096165,5.79,kidneybeans
10,55,23,21.18853178,5.73,kidneybeans
23,65,20,23.0429097,5.83,kidneybeans
19,78,16,20.65375833,5.97,kidneybeans
19,65,25,18.09551014,5.63,kidneybeans
22,70,19,18.23775702,5.52,kidneybeans
37,64,22,17.48189735,5.95,kidneybeans
11,71,17,19.9191786,5.75,kidneybeans
18,79,20,20.27514686,5.88,kidneybeans
21,63,17,15.77370214,5.98,kidneybeans
24,80,22,16.71170642,5.64,kidneybeans
34,60,22,17.66148158,5.64,kidneybeans
16,75,21,18.50692825,5.68,kidneybeans
17,77,23,24.51324787,5.67,kidneybeans
37,72,18,18.87614998,5.72,kidneybeans
40,73,20,21.59343016,5.81,kidneybeans
9,77,17,20.12373284,5.78,kidneybeans
1,62,23,15.43546065,5.61,kidneybeans
33,59,22,22.64236876,5.95,kidneybeans
23,59,19,21.98560799,5.85,kidneybeans
6,62,22,20.53052663,5.82,kidneybeans
25,63,20,15.78601387,5.5,kidneybeans
7,79,23,19.6365349,5.82,kidneybeans
8,72,17,20.57341244,5.71,kidneybeans
27,64,15,20.16080524,5.51,kidneybeans
28,66,23,21.53989176,6,kidneybeans
32,57,18,15.53834801,5.7,kidneybeans
27,56,22,19.91853092,5.83,kidneybeans
17,77,24,20.76952209,5.57,kidneybeans
0,65,15,23.46168338,5.65,kidneybeans
13,72,21,24.32116642,5.82,kidneybeans
34,60,23,20.12574053,5.66,kidneybeans
9,80,19,21.80619564,5.95,kidneybeans
11,72,20,19.52226241,5.95,kidneybeans
3,67,24,17.00067625,5.52,kidneybeans
35,69,23,16.78791503,5.58,kidneybeans
3,77,25,24.84906168,5.61,kidneybeans
23,62,19,16.51783455,5.61,kidneybeans
22,71,17,18.15300153,5.51,kidneybeans
31,79,25,23.18864385,5.9,kidneybeans
34,59,18,23.38002569,5.74,kidneybeans
12,63,17,18.358923,5.72,kidneybeans
27,56,20,19.25975367,5.54,kidneybeans
7,63,24,22.95458237,5.86,kidneybeans
24,67,22,20.120043,5.62,kidneybeans
11,71,24,21.14011423,5.61,kidneybeans
37,74,15,24.92360104,5.58,kidneybeans
25,76,24,15.33042636,5.57,kidneybeans
34,66,17,18.81097271,5.89,kidneybeans
20,69,15,23.44260668,5.93,kidneybeans
37,65,16,22.8352024,5.68,kidneybeans
18,74,15,24.9035819,5.71,kidneybeans
4,67,25,23.78709569,5.95,kidneybeans
37,56,25,22.05592283,5.77,kidneybeans
5,59,15,18.87492997,5.97,kidneybeans
11,61,21,18.62328774,5.53,kidneybeans
22,80,20,23.00884744,5.67,kidneybeans
12,61,19,19.33162606,5.66,kidneybeans
5,74,21,16.24469193,5.59,kidneybeans
27,69,22,17.91652287,5.93,kidneybeans
31,75,18,15.46789263,5.82,kidneybeans
36,68,20,17.06104474,5.86,kidneybeans
5,65,16,21.32776028,5.87,kidneybeans
32,79,15,23.90910104,5.71,kidneybeans
11,78,22,23.89756791,5.94,kidneybeans
0,55,22,22.98666928,5.92,kidneybeans
14,59,15,21.35135729,5.78,kidneybeans
29,68,23,24.1638445,5.83,kidneybeans
32,68,19,24.62835037,5.51,kidneybeans
17,64,17,21.02213209,5.66,kidneybeans
13,69,19,17.30844532,5.86,kidneybeans
14,67,22,23.82576704,5.62,kidneybeans
9,69,20,19.30607278,5.59,kidneybeans
20,73,22,16.03768615,5.98,kidneybeans
40,78,20,19.18572809,5.67,kidneybeans
27,72,23,19.92889503,5.96,kidneybeans
14,67,15,19.56376468,5.69,kidneybeans
7,56,18,18.31357543,5.7,kidneybeans
27,65,18,20.10993761,5.6,kidneybeans
30,63,16,23.60506572,5.53,kidneybeans
37,70,25,19.73136909,5.82,kidneybeans
27,63,19,20.93409877,5.56,kidneybeans
22,60,24,18.78226261,5.63,kidneybeans
3,72,24,36.51268371,6.03,pigeonpeas
40,59,23,36.89163721,5.27,pigeonpeas
33,73,23,29.23540524,5.99,pigeonpeas
27,57,24,27.33534897,6.09,pigeonpeas
10,79,18,21.0643684,5.62,pigeonpeas
30,75,25,30.33276599,6.45,pigeonpeas
40,70,20,31.80130272,5.62,pigeonpeas
38,55,19,33.18184225,5.86,pigeonpeas
35,58,20,29.38538562,5.76,pigeonpeas
38,61,21,30.27374995,4.7,pigeonpeas
33,58,24,35.45790488,5.27,pigeonpeas
16,56,17,33.80020039,7.45,pigeonpeas
31,72,17,28.69180475,5.83,pigeonpeas
16,80,20,31.24021696,7.34,pigeonpeas
27,72,17,28.98039357,6.35,pigeonpeas
40,62,19,27.32198928,4.7,pigeonpeas
18,58,16,21.47607807,4.96,pigeonpeas
3,68,16,18.31910448,4.96,pigeonpeas
26,67,24,36.97794384,5.64,pigeonpeas
16,70,20,24.80467592,5.61,pigeonpeas
24,63,19,19.3479443,4.68,pigeonpeas
9,76,25,28.88302142,5.71,pigeonpeas
16,55,19,19.54314136,6.41,pigeonpeas
28,75,21,24.7741949,6.01,pigeonpeas
16,71,24,18.33124824,4.95,pigeonpeas
24,70,21,19.14729038,5.52,pigeonpeas
38,72,21,28.23416057,5.9,pigeonpeas
9,66,21,30.11812084,5.72,pigeonpeas
34,56,17,33.4126864,4.55,pigeonpeas
1,76,19,24.18553163,6.67,pigeonpeas
6,69,19,26.88630675,4.75,pigeonpeas
26,73,21,31.33170829,4.95,pigeonpeas
27,61,18,33.30711818,5.27,pigeonpeas
27,71,23,23.45379018,7.11,pigeonpeas
36,61,21,34.53823889,5.62,pigeonpeas
17,73,18,19.50112224,5.63,pigeonpeas
26,72,22,28.76794904,4.67,pigeonpeas
17,64,16,30.97758716,7.16,pigeonpeas
14,74,19,18.39759147,6.62,pigeonpeas
39,60,15,35.09357419,5,pigeonpeas
6,66,15,34.93174223,6.35,pigeonpeas
8,59,18,29.50523036,6.22,pigeonpeas
2,67,18,34.51934775,5.92,pigeonpeas
1,76,17,28.43430726,6.01,pigeonpeas
16,73,19,18.41645629,4.68,pigeonpeas
23,75,25,31.07508973,7.08,pigeonpeas
32,70,20,20.89342749,6.21,pigeonpeas
28,59,22,30.90607799,7.05,pigeonpeas
5,62,23,27.9348279,4.72,pigeonpeas
36,67,25,35.95176642,6.42,pigeonpeas
1,66,23,19.54317155,4.8,pigeonpeas
24,73,20,19.63736208,4.61,pigeonpeas
17,67,18,31.2192752,5.61,pigeonpeas
5,55,18,33.50876355,7.32,pigeonpeas
5,56,24,24.80710166,5.02,pigeonpeas
37,77,17,36.20970524,5.62,pigeonpeas
13,73,20,30.50420876,5.39,pigeonpeas
6,63,23,26.01630259,5.91,pigeonpeas
16,77,22,31.48469278,6.57,pigeonpeas
25,64,20,33.15122581,4.81,pigeonpeas
34,75,24,23.50222822,4.76,pigeonpeas
20,77,23,34.87248659,5.18,pigeonpeas
35,80,25,28.09269012,4.9,pigeonpeas
14,75,24,24.54757829,6.44,pigeonpeas
36,80,21,33.64769646,7.07,pigeonpeas
7,77,18,20.5591255,6.66,pigeonpeas
29,78,25,19.95991719,5.98,pigeonpeas
30,60,21,28.87667593,5.46,pigeonpeas
20,74,16,36.04353699,4.76,pigeonpeas
19,57,23,23.6734328,7.34,pigeonpeas
3,60,19,25.74679443,4.82,pigeonpeas
5,77,19,31.08564994,6.24,pigeonpeas
5,68,20,18.72987676,5,pigeonpeas
37,73,21,29.50304807,5.56,pigeonpeas
9,59,24,20.43517772,4.75,pigeonpeas
20,72,15,36.00415838,7.31,pigeonpeas
31,56,23,31.46846241,5.66,pigeonpeas
0,70,21,36.30049702,4.67,pigeonpeas
21,74,15,29.49096726,6.47,pigeonpeas
13,67,18,30.5753044,5.38,pigeonpeas
27,74,20,24.69487673,5.86,pigeonpeas
29,72,24,23.17409556,6.96,pigeonpeas
5,68,20,19.04380471,6.12,pigeonpeas
39,57,19,29.32379604,6.42,pigeonpeas
22,62,16,34.6455408,4.83,pigeonpeas
18,55,23,21.9989826,6.99,pigeonpeas
39,77,21,22.99774444,4.6,pigeonpeas
13,75,20,30.55992394,6.98,pigeonpeas
27,71,24,31.46417866,7.06,pigeonpeas
26,64,22,25.95058595,5.17,pigeonpeas
23,55,16,21.01142393,5.11,pigeonpeas
4,69,19,19.25100056,5.37,pigeonpeas
20,67,19,19.24462755,5.67,pigeonpeas
7,74,17,22.47253208,5.67,pigeonpeas
17,64,18,36.75087487,6.08,pigeonpeas
35,71,17,29.89286629,6.93,pigeonpeas
11,72,22,29.37735586,6.84,pigeonpeas
20,60,22,29.65052947,6.88,pigeonpeas
10,71,18,19.54284889,6.15,pigeonpeas
33,61,24,20.04611791,4.57,pigeonpeas
3,49,18,27.91095209,3.69,mothbeans
22,59,23,27.32220619,4.37,mothbeans
36,58,25,28.66024187,8.4,mothbeans
4,43,18,29.02955344,8.84,mothbeans
29,54,16,27.78031515,8.15,mothbeans
32,43,22,31.99928579,5.27,mothbeans
14,55,15,27.33580911,8.05,mothbeans
5,35,20,28.92952635,9.68,mothbeans
25,57,24,27.65472156,6.97,mothbeans
11,53,24,28.52396666,7.39,mothbeans
40,49,17,31.02215872,6.69,mothbeans
38,56,25,25.74095321,7.88,mothbeans
27,43,23,31.70447482,5.88,mothbeans
24,38,22,24.47876451,8.2,mothbeans
23,45,21,31.46511256,8.99,mothbeans
29,57,20,25.60973447,5.88,mothbeans
31,35,23,30.30260453,7.71,mothbeans
0,55,25,28.17489437,4.52,mothbeans
7,45,22,25.50634557,9.93,mothbeans
17,58,25,31.12896766,6.46,mothbeans
11,44,17,26.34043268,8.02,mothbeans
22,49,22,28.23494706,3.71,mothbeans
9,51,19,27.04453473,5.49,mothbeans
28,48,15,25.16125354,9.25,mothbeans
26,50,19,27.3179125,6.01,mothbeans
36,56,20,25.4123765,7.44,mothbeans
8,60,18,31.21629982,3.81,mothbeans
24,37,21,30.573999,5.82,mothbeans
22,43,24,25.42517036,4.52,mothbeans
36,43,24,27.09400578,3.51,mothbeans
22,44,24,24.30935081,6.03,mothbeans
17,43,22,30.06142622,5.5,mothbeans
8,45,15,28.09568993,4.61,mothbeans
7,56,23,26.33908791,5.55,mothbeans
36,57,16,28.61409059,8.29,mothbeans
11,45,19,28.70012137,3.83,mothbeans
6,36,22,24.21610338,8.87,mothbeans
17,57,20,28.50677929,3.79,mothbeans
4,47,20,25.97948991,4.19,mothbeans
9,49,16,30.88482722,7.66,mothbeans
25,51,24,25.5042419,9.39,mothbeans
36,44,21,25.12528913,4.52,mothbeans
21,38,20,27.10508014,5.79,mothbeans
37,57,20,31.1006247,7.35,mothbeans
32,48,18,26.45707778,5.99,mothbeans
29,44,20,30.04132304,8.62,mothbeans
25,51,18,27.77799528,9.46,mothbeans
10,44,24,30.99256944,8.03,mothbeans
23,35,18,26.4908332,5.41,mothbeans
9,60,23,31.96987867,6.28,mothbeans
3,58,21,25.36140526,9.16,mothbeans
22,42,22,25.54249137,7.89,mothbeans
12,39,21,28.99319096,8.18,mothbeans
39,36,22,29.34317422,9.07,mothbeans
32,41,16,28.63618921,7.7,mothbeans
30,41,15,24.83206631,5.89,mothbeans
19,36,22,25.44689075,6.16,mothbeans
4,46,15,31.01274943,3.5,mothbeans
21,39,20,27.06179658,7.39,mothbeans
35,57,25,27.0956288,8.34,mothbeans
22,55,24,28.56800579,8.66,mothbeans
35,51,17,28.79929247,3.56,mothbeans
17,56,17,27.94293692,5.96,mothbeans
28,57,17,30.47757686,9.42,mothbeans
22,36,16,30.58139475,8.18,mothbeans
11,41,19,26.85911286,5.13,mothbeans
38,38,18,26.31051759,6.29,mothbeans
23,37,24,28.77833449,7.99,mothbeans
25,35,20,28.90245417,8.92,mothbeans
40,45,20,29.37687468,6.88,mothbeans
23,58,19,24.17093241,5.24,mothbeans
2,56,23,26.65333029,7.55,mothbeans
3,56,17,28.19912143,8.71,mothbeans
26,51,25,28.76488954,7.79,mothbeans
39,42,20,29.3499706,8.06,mothbeans
27,59,20,28.00937423,4.4,mothbeans
24,45,19,26.85851927,5.95,mothbeans
7,40,17,31.2123945,8.53,mothbeans
15,45,23,24.20422636,7.22,mothbeans
26,52,23,29.98835437,4.93,mothbeans
20,45,16,29.93964907,4.63,mothbeans
34,54,24,31.2119298,5.03,mothbeans
19,51,25,26.80474415,3.53,mothbeans
29,41,21,31.49398069,8.87,mothbeans
20,50,22,30.99694676,9.41,mothbeans
11,40,23,29.61253065,5.8,mothbeans
15,54,15,29.97604322,8.35,mothbeans
35,55,22,30.88883074,8.63,mothbeans
9,59,25,30.39321309,7.7,mothbeans
40,45,18,30.43683729,5.26,mothbeans
35,38,19,25.32688786,9.11,mothbeans
14,58,17,30.53684308,4.61,mothbeans
40,55,18,30.38257873,7.12,mothbeans
18,36,23,24.01825377,7.21,mothbeans
35,52,15,28.69841277,9.94,mothbeans
4,59,22,29.33743412,8.91,mothbeans
22,51,16,27.96583691,8.64,mothbeans
33,47,17,24.86803974,8.62,mothbeans
2,51,17,25.87682261,5.84,mothbeans
16,51,21,31.01963639,3.53,mothbeans
19,55,20,27.43329405,7.19,mungbean
8,54,20,28.3340432,7.03,mungbean
36,55,20,27.01470397,6.64,mungbean
10,56,16,28.17432665,6.83,mungbean
22,56,17,29.87888063,6.89,mungbean
9,57,24,29.89232778,7.17,mungbean
34,59,23,28.56212158,6.94,mungbean
31,51,25,27.53592929,7.2,mungbean
0,49,18,29.68361658,6.99,mungbean
21,39,20,28.14448546,7.06,mungbean
28,35,22,29.53037621,7.16,mungbean
17,52,17,27.88352946,6.36,mungbean
24,42,23,28.22471276,6.43,mungbean
28,46,16,29.008124,6.66,mungbean
21,38,21,29.75538903,6.64,mungbean
34,60,25,29.78416743,6.79,mungbean
19,53,22,27.8640132,6.85,mungbean
31,58,15,27.11026483,7.12,mungbean
19,35,24,27.11030369,6.88,mungbean
24,53,17,28.95451232,6.42,mungbean
13,47,20,29.21780035,6.54,mungbean
31,53,16,28.7420098,6.45,mungbean
28,45,23,29.65021184,6.49,mungbean
31,37,21,27.23924995,6.71,mungbean
33,60,15,28.95172351,6.51,mungbean
34,45,21,28.18837136,6.29,mungbean
13,57,25,28.30041493,6.86,mungbean
33,57,17,27.89636126,6.78,mungbean
32,57,22,28.6899851,6.77,mungbean
23,59,25,27.8262623,6.32,mungbean
35,41,18,28.70562673,6.71,mungbean
6,48,24,28.6362812,6.79,mungbean
29,36,25,28.28511547,7.13,mungbean
4,36,22,27.60887393,7.01,mungbean
10,59,22,28.60901145,7.16,mungbean
14,48,21,29.24598976,6.99,mungbean
8,50,21,28.62911222,6.22,mungbean
20,40,15,29.57329479,7.2,mungbean
36,43,22,27.82684262,6.39,mungbean
14,57,15,29.8757015,6.62,mungbean
11,60,23,27.33684386,7.03,mungbean
10,59,15,29.83040388,6.32,mungbean
7,60,25,28.2753171,6.4,mungbean
2,47,15,29.86860065,6.4,mungbean
20,45,22,29.5888162,6.9,mungbean
2,39,15,28.07219563,6.48,mungbean
27,40,24,27.84026517,7.06,mungbean
35,48,15,27.10818093,6.98,mungbean
4,59,25,27.68515114,6.23,mungbean
1,48,24,29.34594634,6.23,mungbean
36,43,21,28.36319404,7.14,mungbean
11,46,24,27.65280218,6.46,mungbean
34,47,19,27.31372793,6.57,mungbean
21,44,18,27.06909959,7.13,mungbean
17,58,20,28.06642822,6.43,mungbean
25,40,21,27.73329078,6.25,mungbean
